Country,2019,2020
Afghanistan,507.1,508.8
Albania,"5,355.80","5,215.30"
Algeria,"3,975.50","3,310.40"
American Samoa,"11,534.60",..
Andorra,"40,897.30",..
Angola,"2,809.60","1,895.80"
Antigua and Barbuda,"17,113.30","14,450.00"
Argentina,"9,912.30","8,441.90"
Armenia,"4,622.70","4,267.50"
Aruba,..,..
Australia,"55,057.20","51,812.20"
Austria,"50,121.60","48,327.60"
Azerbaijan,"4,805.80","4,214.30"
"Bahamas, The","34,863.40","28,607.90"
Bahrain,"23,443.40",..
Bangladesh,"1,855.70","1,968.80"
Barbados,"18,148.50","15,191.20"
Belarus,"6,839.10","6,411.20"
Belgium,"46,414.40","44,594.40"
Belize,"5,078.80","4,435.60"
Benin,"1,219.50","1,291.00"
Bermuda,"117,098.40",..
Bhutan,"3,316.20","3,122.40"
Bolivia,"3,552.10","3,143.00"
Bosnia and Herzegovina,"6,120.10","6,031.60"
Botswana,"7,970.80","6,711.00"
Brazil,"8,897.50","6,796.80"
British Virgin Islands,..,..
Brunei Darussalam,"31,086.00","27,466.30"
Bulgaria,"9,828.10","9,975.80"
Burkina Faso,786.9,830.9
Burundi,261.2,274
Cabo Verde,"3,603.80","3,064.30"
Cambodia,"1,643.10","1,512.70"
Cameroon,"1,507.40","1,499.40"
Canada,"46,326.70","43,258.20"
Cayman Islands,"91,392.60",..
Central African Republic,467.9,476.9
Chad,709.5,614.5
Channel Islands,..,..
Chile,"14,741.70","13,231.70"
China,"10,216.60","10,500.40"
Colombia,"6,425.00","5,332.80"
Comoros,"1,370.10","1,402.60"
"Congo, Dem. Rep.",580.7,556.8
"Congo, Rep.","2,359.20","1,972.50"
Costa Rica,"12,669.70","12,076.80"
Cote d'Ivoire,"2,276.30","2,325.70"
Croatia,"14,944.40","13,828.50"
Cuba,"9,099.70",..
Curacao,"19,701.30",..
Cyprus,"28,288.50","26,623.80"
Czech Republic,"23,660.10","22,932.20"
Denmark,"59,775.70","61,063.30"
Djibouti,"3,414.90","3,425.50"
Dominica,"8,002.00","6,526.80"
Dominican Republic,"8,282.10","7,268.20"
Ecuador,"6,222.50","5,600.40"
"Egypt, Arab Rep.","3,019.10","3,547.90"
El Salvador,"4,167.70","3,798.60"
Equatorial Guinea,"8,419.90","7,143.20"
Eritrea,..,..
Estonia,"23,397.10","23,027.00"
Ethiopia,855.8,936.3
Faroe Islands,"64,225.30",..
Fiji,"6,175.90","4,881.50"
Finland,"48,678.30","48,773.30"
France,"40,578.60","39,030.40"
French Polynesia,..,..
Gabon,"7,767.00","7,005.90"
"Gambia, The",777.8,787
Georgia,"4,698.00","4,278.90"
Germany,"46,794.90","46,208.40"
Ghana,"2,210.40","2,328.50"
Gibraltar,..,..
Greece,"19,150.80","17,676.20"
Greenland,..,..
Grenada,"10,815.90","9,680.20"
Guam,"37,723.80",..
Guatemala,"4,638.60","4,603.30"
Guinea,"1,058.10","1,194.00"
Guinea-Bissau,749.5,727.5
Guyana,"6,609.50","6,955.90"
Haiti,"1,272.50","1,176.80"
Honduras,"2,574.40","2,405.70"
"Hong Kong SAR, China","48,354.50","46,323.90"
Hungary,"16,733.30","15,899.10"
Iceland,"68,941.50","59,270.20"
India,"2,100.80","1,900.70"
Indonesia,"4,135.20","3,869.60"
"Iran, Islamic Rep.","3,114.60","2,282.60"
Iraq,"5,658.50","4,157.50"
Ireland,"80,886.60","85,267.80"
Isle of Man,..,..
Israel,"43,588.70","43,610.50"
Italy,"33,566.80","31,676.20"
Jamaica,"5,369.50","4,664.50"
Japan,"40,777.60","39,538.90"
Jordan,"4,405.50","4,282.80"
Kazakhstan,"9,812.60","9,055.70"
Kenya,"1,816.50","1,838.20"
Kiribati,"1,655.10","1,670.80"
"Korea, Dem. People's Rep.",..,..
"Korea, Rep.","31,846.20","31,489.10"
Kosovo,"4,445.90","4,287.20"
Kuwait,"32,373.30",..
Kyrgyz Republic,"1,374.00","1,173.60"
Lao PDR,"2,545.00","2,630.20"
Latvia,"17,794.50","17,620.00"
Lebanon,"7,583.70","4,891.00"
Lesotho,"1,113.40",861
Liberia,621.9,583.3
Libya,"7,685.90","3,699.20"
Liechtenstein,..,..
Lithuania,"19,555.20","19,997.60"
Luxembourg,"114,685.20","115,873.60"
"Macao SAR, China","86,117.70",..
North Macedonia,"6,022.20","5,888.00"
Madagascar,526.2,495.5
Malawi,583.1,625.3
Malaysia,"11,414.20","10,401.80"
Maldives,"10,626.40","7,455.90"
Mali,879.1,858.9
Malta,"30,186.20","27,884.60"
Marshall Islands,"4,073.10",..
Mauritania,"1,679.40","1,672.90"
Mauritius,"11,097.60","8,622.70"
Mexico,"9,946.00","8,346.70"
"Micronesia, Fed. Sts.","3,585.40",..
Moldova,"4,494.00","4,551.10"
Monaco,"190,512.70",..
Mongolia,"4,339.80","4,007.30"
Montenegro,"8,910.70","7,686.10"
Morocco,"3,230.40","3,009.20"
Mozambique,503.6,448.6
Myanmar,"1,477.40","1,400.20"
Namibia,"5,037.30","4,211.10"
Nauru,"10,983.20",..
Nepal,"1,195.00","1,155.10"
Netherlands,"52,476.30","52,397.10"
New Caledonia,..,..
New Zealand,"42,755.20","41,477.90"
Nicaragua,"1,926.70","1,905.30"
Niger,553.9,565.1
Nigeria,"2,229.90","2,097.10"
Northern Mariana Islands,"20,659.60",..
Norway,"75,826.10","67,389.90"
Oman,"15,343.00",..
Pakistan,"1,284.70","1,193.70"
Palau,"14,907.80",..
Panama,"15,728.00","12,269.00"
Papua New Guinea,"2,829.20","2,636.80"
Paraguay,"5,381.00","4,949.70"
Peru,"7,027.60","6,126.90"
Philippines,"3,485.30","3,298.80"
Poland,"15,694.80","15,656.20"
Portugal,"23,284.50","22,437.10"
Puerto Rico,"32,850.50","32,290.90"
Qatar,"62,088.00","50,805.50"
Romania,"12,889.80","12,896.10"
Russian Federation,"11,497.60","10,126.70"
Rwanda,820.1,797.9
Samoa,"4,324.10","4,067.50"
San Marino,"47,731.20",..
Sao Tome and Principe,"1,987.60","2,157.80"
Saudi Arabia,"23,139.80","20,110.30"
Senegal,"1,430.10","1,487.80"
Serbia,"7,411.60","7,666.20"
Seychelles,"16,198.50","11,425.10"
Sierra Leone,527.5,484.5
Singapore,"65,640.70","59,797.80"
Sint Maarten (Dutch part),..,..
Slovak Republic,"19,273.30","19,156.90"
Slovenia,"25,943.00","25,517.30"
Solomon Islands,"2,344.20","2,258.40"
Somalia,320,309.4
South Africa,"6,001.40","5,090.70"
South Sudan,..,..
Spain,"29,555.30","27,063.20"
Sri Lanka,"3,851.60","3,682.00"
St. Kitts and Nevis,"19,773.50","17,435.90"
St. Lucia,"11,611.10","9,276.10"
St. Martin (French part),..,..
St. Vincent and the Grenadines,"7,457.20","7,297.90"
Sudan,753.3,595.5
Suriname,"7,261.20","6,491.10"
Eswatini,"3,894.70","3,415.50"
Sweden,"51,939.40","52,259.30"
Switzerland,"85,334.50","87,097.00"
Syrian Arab Republic,..,..
Tajikistan,890.5,859.1
Tanzania,"1,085.90","1,076.50"
Thailand,"7,817.00","7,189.00"
Timor-Leste,"1,560.50","1,381.20"
Togo,893.4,915
Tonga,"4,903.00",..
Trinidad and Tobago,"16,637.20","15,384.00"
Tunisia,"3,351.60","3,319.80"
Turkey,"9,126.60","8,538.20"
Turkmenistan,"7,612.00",..
Turks and Caicos Islands,"31,350.90","23,879.90"
Tuvalu,"4,055.90","4,143.10"
Uganda,794.5,817
Ukraine,"3,662.60","3,726.90"
United Arab Emirates,"43,103.30",..
United Kingdom,"42,354.40","40,284.60"
United States,"65,279.50","63,543.60"
Uruguay,"17,688.00","15,438.40"
Uzbekistan,"1,719.10","1,685.80"
Vanuatu,"3,102.30","2,783.00"
"Venezuela, RB",..,..
Vietnam,"2,715.30","2,785.70"
Virgin Islands (U.S.),..,..
West Bank and Gaza,"3,656.90","3,239.70"
"Yemen, Rep.",..,..
Zambia,"1,305.00","1,050.90"
Zimbabwe,"1,156.20","1,128.20"
"Created from: World Development Indicators
Series : GDP per capita (current US$)",,
