"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2016",4624.966,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2017",4659.025,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2018",4793.46,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2019",4919.24,"E"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2016",5195.531,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2017",5315.353,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2018",5544.767,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2019",5705.102,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2020",5899.139,"P"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2016",5003.902,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2017",5136.174,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2018",5358.892,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2019",5458.401,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2016",5039.601,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2017",5138.19,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2018",5330.848,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2019",5370.442,"P"
"CZE","HEALTHEXP","TOT","USD_CAP","A","2016",2670.97,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2017",2873.306,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2018",3174.386,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2019",3417.487,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2016",4849.758,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2017",5083.278,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2018",5316.577,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2019",5477.567,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2016",4103.556,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2017",4215.312,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2018",4379.886,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2019",4561.471,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2016",4922.263,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2017",4994.828,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2018",5136.2,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2019",5274.26,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2016",5670.578,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2017",5959.529,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2018",6291.041,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2019",6518.004,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2020",6730.942,"P"
"GRC","HEALTHEXP","TOT","USD_CAP","A","2016",2220.862,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2017",2245.122,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2018",2290.646,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2019",2318.964,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2016",1999.683,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2017",2000.095,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2018",2102.765,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2019",2169.772,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2016",3932.084,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2017",4135.023,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2018",4376.857,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2019",4540.762,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2020",5034.092,"P"
"IRL","HEALTHEXP","TOT","USD_CAP","A","2016",4536.744,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2017",4683.364,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2018",4897.59,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2019",5083.213,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2020",5604.209,"P"
"ITA","HEALTHEXP","TOT","USD_CAP","A","2016",3274.024,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2017",3376.084,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2018",3522.076,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2019",3653.401,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2020",3819.39,"P"
"JPN","HEALTHEXP","TOT","USD_CAP","A","2016",4295.858,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2017",4412.852,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2018",4558.669,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2019",4691.462,"E"
"KOR","HEALTHEXP","TOT","USD_CAP","A","2016",2664.734,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2017",2802.355,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2018",3091.826,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2019",3406.256,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2020",3493.695,"P"
"LUX","HEALTHEXP","TOT","USD_CAP","A","2016",4864.255,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2017",4988.997,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2018",5220.868,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2019",5414.482,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2016",1102.809,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2017",1099.647,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2018",1116.032,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2019",1132.966,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2016",5075.641,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2017",5253.773,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2018",5538.095,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2019",5739.201,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2020",6298.506,"P"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2016",3732.589,"P"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2017",3842.325,"P"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2018",4058.746,"P"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2019",4211.854,"E"
"NOR","HEALTHEXP","TOT","USD_CAP","A","2016",5904.221,
"NOR","HEALTHEXP","TOT","USD_CAP","A","2017",6234.377,
"NOR","HEALTHEXP","TOT","USD_CAP","A","2018",6536.761,
"NOR","HEALTHEXP","TOT","USD_CAP","A","2019",6744.623,
"NOR","HEALTHEXP","TOT","USD_CAP","A","2020",6748.433,"P"
"POL","HEALTHEXP","TOT","USD_CAP","A","2016",1959.094,
"POL","HEALTHEXP","TOT","USD_CAP","A","2017",2062.735,
"POL","HEALTHEXP","TOT","USD_CAP","A","2018",2122.841,
"POL","HEALTHEXP","TOT","USD_CAP","A","2019",2289.309,
"POL","HEALTHEXP","TOT","USD_CAP","A","2020",2546.964,"P"
"PRT","HEALTHEXP","TOT","USD_CAP","A","2016",2815.178,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2017",2906.395,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2018",3152.797,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2019",3347.429,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2020",3308.319,"P"
"SVK","HEALTHEXP","TOT","USD_CAP","A","2016",2039.611,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2017",1974.467,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2018",2049.468,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2019",2189.052,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2016",3148.584,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2017",3320.594,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2018",3443.656,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2019",3600.277,"P"
"SWE","HEALTHEXP","TOT","USD_CAP","A","2016",5127.574,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2017",5219.41,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2018",5456.547,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2019",5551.937,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2020",5753.559,"P"
"CHE","HEALTHEXP","TOT","USD_CAP","A","2016",6808.027,
"CHE","HEALTHEXP","TOT","USD_CAP","A","2017",6866.474,
"CHE","HEALTHEXP","TOT","USD_CAP","A","2018",6978.086,
"CHE","HEALTHEXP","TOT","USD_CAP","A","2019",7138.064,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2016",1128.754,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2017",1175.655,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2018",1214.124,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2019",1266.935,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2016",3988.944,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2017",4096.018,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2018",4288.654,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2019",4500.141,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2020",5267.705,"P"
"USA","HEALTHEXP","TOT","USD_CAP","A","2016",9777.261,
"USA","HEALTHEXP","TOT","USD_CAP","A","2017",10106.176,
"USA","HEALTHEXP","TOT","USD_CAP","A","2018",10528.48,
"USA","HEALTHEXP","TOT","USD_CAP","A","2019",10948.475,
"CHL","HEALTHEXP","TOT","USD_CAP","A","2016",1941.256,
"CHL","HEALTHEXP","TOT","USD_CAP","A","2017",2119.552,
"CHL","HEALTHEXP","TOT","USD_CAP","A","2018",2131.03,
"CHL","HEALTHEXP","TOT","USD_CAP","A","2019",2291.464,
"CHL","HEALTHEXP","TOT","USD_CAP","A","2020",2231.567,"P"
"EST","HEALTHEXP","TOT","USD_CAP","A","2016",2028.237,
"EST","HEALTHEXP","TOT","USD_CAP","A","2017",2201.895,
"EST","HEALTHEXP","TOT","USD_CAP","A","2018",2365.786,
"EST","HEALTHEXP","TOT","USD_CAP","A","2019",2507.068,
"EST","HEALTHEXP","TOT","USD_CAP","A","2020",2948.505,"P"
"ISR","HEALTHEXP","TOT","USD_CAP","A","2016",2524.083,
"ISR","HEALTHEXP","TOT","USD_CAP","A","2017",2626.181,
"ISR","HEALTHEXP","TOT","USD_CAP","A","2018",2836.329,
"ISR","HEALTHEXP","TOT","USD_CAP","A","2019",2903.412,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2016",2738.224,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2017",2832.646,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2018",3060.734,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2019",3303.471,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2020",3783.152,"P"
"CHN","HEALTHEXP","TOT","USD_CAP","A","2016",668.096,
"CHN","HEALTHEXP","TOT","USD_CAP","A","2017",730.375,
"CHN","HEALTHEXP","TOT","USD_CAP","A","2018",810.845,
"COL","HEALTHEXP","TOT","USD_CAP","A","2016",1101.628,
"COL","HEALTHEXP","TOT","USD_CAP","A","2017",1139.442,
"COL","HEALTHEXP","TOT","USD_CAP","A","2018",1195.354,
"COL","HEALTHEXP","TOT","USD_CAP","A","2019",1276.209,"P"
"IND","HEALTHEXP","TOT","USD_CAP","A","2016",224.324,
"IND","HEALTHEXP","TOT","USD_CAP","A","2017",238.103,
"IND","HEALTHEXP","TOT","USD_CAP","A","2018",257.403,
"IDN","HEALTHEXP","TOT","USD_CAP","A","2016",330.886,
"IDN","HEALTHEXP","TOT","USD_CAP","A","2017",316.239,
"IDN","HEALTHEXP","TOT","USD_CAP","A","2018",336.726,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2016",1613.803,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2017",1676.414,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2018",1867.283,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2019",2074.007,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2016",2097.796,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2017",2230.967,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2018",2414.809,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2019",2727.189,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2020",2940.665,"P"
"RUS","HEALTHEXP","TOT","USD_CAP","A","2016",1406.271,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2017",1521,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2018",1713.947,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2019",1850.261,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2016",1056.591,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2017",1072.354,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2018",1103.532,
"CRI","HEALTHEXP","TOT","USD_CAP","A","2016",1413.267,
"CRI","HEALTHEXP","TOT","USD_CAP","A","2017",1445.438,
"CRI","HEALTHEXP","TOT","USD_CAP","A","2018",1548.048,"D"
"CRI","HEALTHEXP","TOT","USD_CAP","A","2019",1599.817,"B"
"BGR","HEALTHEXP","TOT","USD_CAP","A","2016",1598.353,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2017",1692.692,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2018",1784.062,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2019",1842.048,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2016",1675.372,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2017",1762.645,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2018",1900.971,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2019",2014.205,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2016",2267.338,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2017",2384.063,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2018",2606.43,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2019",2722.232,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2016",3451.508,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2017",3691.342,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2018",3820.418,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2016",1250.961,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2017",1413.859,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2018",1664.296,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2019",1895.017,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3053.117,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3091.112,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3192.682,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3378.808,"E"
"AUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1571.849,"D"
"AUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1567.913,"D"
"AUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1600.779,"D"
"AUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1540.433,"E"
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3842.678,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3934.347,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4149.584,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4292.127,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4504.329,"P"
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1352.853,"D"
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1381.006,"D"
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1395.183,"D"
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1412.975,"D"
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1394.81,"P"
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3865.947,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3972.833,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4118.526,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4192.436,
"BEL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1137.955,
"BEL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1163.341,
"BEL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1240.366,
"BEL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1265.965,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3510.241,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3586.306,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3740.63,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3768.303,"P"
"CAN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1529.359,
"CAN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1551.884,
"CAN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1590.218,
"CAN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1602.139,"P"
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",2189.597,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",2358.811,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2635.761,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2795.55,
"CZE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",481.373,
"CZE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",514.496,
"CZE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",538.625,
"CZE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",621.937,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4079.733,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",4271.174,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4459.575,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4562.246,
"DNK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",770.024,
"DNK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",812.103,
"DNK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",857.002,
"DNK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",915.321,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3127.993,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3221.254,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3368.898,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3550.344,
"FIN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",975.564,
"FIN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",994.058,
"FIN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1010.988,
"FIN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1011.127,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4086.625,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",4154.645,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4289.553,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4414.98,
"FRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",835.638,
"FRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",840.183,
"FRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",846.647,
"FRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",859.28,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4781.354,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",5037.283,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",5313.833,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",5514.432,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",5728.947,"P"
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",889.208,
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",922.23,
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",977.208,
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1003.573,
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1001.979,"P"
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1348.87,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1357.319,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1338.374,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1385.758,
"GRC","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",866.221,
"GRC","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",883.779,
"GRC","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",949.16,
"GRC","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",930.01,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1361.359,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1375.745,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1469.617,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1482.511,
"HUN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",638.325,
"HUN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",624.35,
"HUN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",633.148,
"HUN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",687.261,
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3204.993,
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3389.35,
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3609.403,
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3763.782,
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4218.781,"P"
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",727.091,
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",745.673,
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",767.454,
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",776.979,
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",815.311,"P"
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3299.179,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3417.878,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3630.391,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3790.959,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4319.089,"P"
"IRL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1237.565,
"IRL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1265.486,
